Rk,Player,HR,PA,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
35,Eugenio Suárez,22,694,2023,31,SEA,AL,162,694,598,68,139,88,29,0,22,96,2,1,70,214,.232,.323,.391,.714,103,234,10,15,0,11,0,*5/D,suareeu01
36,Mike Zunino,22,476,2014,23,SEA,AL,131,476,438,51,87,43,20,2,22,60,0,3,17,158,.199,.254,.404,.658,88,177,12,17,0,4,1,*2/DH,zuninmi01
37,Robinson Canó,21,674,2015,32,SEA,AL,156,674,624,82,179,123,34,1,21,79,2,6,43,107,.287,.334,.446,.779,117,278,26,3,0,4,5,*4/DH,canoro01
38,Edwin Encarnación,21,289,2019,36,SEA,AL,65,289,241,48,58,30,7,0,21,49,0,1,41,55,.241,.356,.531,.888,137,128,3,4,0,3,0,3D/4H,encared01
39,Domingo Santana,21,507,2019,26,SEA,AL,121,507,451,63,114,72,20,1,21,69,8,3,50,164,.253,.329,.441,.770,107,199,11,2,0,2,1,79D/H,santado01
40,Ty France,20,613,2022,27,SEA,AL,140,613,551,65,151,103,27,1,20,83,0,0,35,94,.274,.338,.436,.774,125,240,18,21,0,5,3,*3/D5H4,francty01
41,Adam Lind,20,430,2016,32,SEA,AL,126,430,401,48,96,59,17,0,20,58,0,1,26,89,.239,.286,.431,.717,94,173,14,1,0,2,3,3HD,lindad01
42,Julio Rodríguez,20,613,2024,23,SEA,AL,143,613,567,76,155,118,17,0,20,68,24,5,38,156,.273,.325,.409,.734,115,232,10,6,0,2,1,*8D/H,rodriju01
43,Kyle Seager,20,651,2012,24,SEA,AL,155,651,594,62,154,98,35,1,20,86,13,5,46,110,.259,.316,.423,.738,108,251,9,5,2,4,1,*54/DH,seageky01
44,Justin Smoak,20,521,2013,26,SEA,AL,131,521,454,53,108,69,19,0,20,50,0,0,64,119,.238,.334,.412,.746,113,187,11,2,0,1,1,*3/DH,smoakju01
45,Mike Zunino,20,405,2018,27,SEA,AL,113,405,373,37,75,37,18,0,20,44,0,0,24,150,.201,.259,.410,.669,85,153,7,6,0,2,0,*2/HD,zuninmi01
46,J.P. Crawford,19,638,2023,28,SEA,AL,145,638,534,94,142,88,35,0,19,65,2,0,94,125,.266,.380,.438,.818,133,234,7,5,3,2,1,*6/H,crawfjp01
47,Miguel Olivo,19,507,2011,32,SEA,AL,130,507,477,54,107,68,19,1,19,62,6,5,20,140,.224,.253,.388,.641,81,185,7,1,1,8,2,*2/HD,olivomi01
48,Michael Saunders,19,553,2012,25,SEA,AL,139,553,507,71,125,72,31,3,19,57,21,4,43,132,.247,.306,.432,.738,108,219,6,1,1,1,0,*87/H9,saundmi01
49,Justin Smoak,19,535,2012,25,SEA,AL,132,535,483,49,105,72,14,0,19,51,1,0,49,111,.217,.290,.364,.654,85,176,12,1,0,2,2,*3/D,smoakju01
50,Ty France,18,650,2021,26,SEA,AL,152,650,571,85,166,115,32,1,18,73,0,0,46,106,.291,.368,.445,.813,128,254,13,27,0,6,1,3D4/5H,francty01
51,Tom Murphy,18,281,2019,28,SEA,AL,75,281,260,32,71,40,12,1,18,40,2,0,19,87,.273,.324,.535,.858,128,139,0,1,0,1,0,2/D1H7,murphto04
52,Logan Morrison,17,511,2015,27,SEA,AL,146,511,457,47,103,68,15,3,17,54,8,4,47,81,.225,.302,.383,.685,92,175,7,4,1,2,5,*3H/97D,morrilo01
53,Mike Ford,16,251,2023,30,SEA,AL,83,251,219,32,50,28,6,0,16,34,0,0,24,81,.228,.323,.475,.798,124,104,4,7,0,1,0,DH3/1,fordmi01
54,Mitch Haniger,16,410,2017,26,SEA,AL,96,410,369,58,104,61,25,2,16,47,5,4,31,93,.282,.352,.491,.843,127,181,9,9,1,0,0,9/87H,hanigmi01
55,Jorge Polanco,16,469,2024,30,SEA,AL,118,469,417,43,89,62,11,0,16,45,4,2,46,137,.213,.296,.355,.651,92,148,16,4,0,2,3,*4/DH,polanjo01
56,Seth Smith,16,438,2016,33,SEA,AL,137,438,378,62,94,63,15,0,16,63,0,0,48,89,.249,.342,.415,.758,108,157,11,8,0,4,1,*97HD,smithse01
57,Tim Beckham,15,328,2019,29,SEA,AL,88,328,304,39,72,35,21,1,15,47,1,3,21,102,.237,.293,.461,.753,100,140,7,3,0,0,0,675D/43H,beckhti01
58,Russell Branyan,15,238,2010,34,SEA,AL,57,238,205,23,44,19,10,0,15,33,1,0,30,82,.215,.319,.483,.802,123,99,4,2,0,1,2,D/3H,branyru01
59,Mitch Garver,15,430,2024,33,SEA,AL,114,430,367,37,63,31,17,0,15,51,0,0,53,133,.172,.286,.341,.627,85,125,9,7,0,3,0,D2/H,garvemi01
60,Franklin Gutierrez,15,189,2015,32,SEA,AL,59,189,171,27,50,24,11,0,15,35,0,0,14,54,.292,.354,.620,.974,167,106,5,3,0,1,1,7H/D9,gutiefr01
61,Mitch Haniger,15,283,2019,28,SEA,AL,63,283,246,46,54,25,13,1,15,32,4,0,30,81,.220,.314,.463,.778,108,114,3,5,0,2,1,98/DH,hanigmi01
62,Leonys Martín,15,576,2016,28,SEA,AL,143,576,518,72,128,93,17,3,15,47,24,6,44,149,.247,.306,.378,.684,88,196,10,3,4,7,0,*8,martile01
63,Jesús Montero,15,553,2012,22,SEA,AL,135,553,515,46,134,99,20,0,15,62,0,2,29,99,.260,.298,.386,.685,94,199,15,2,0,7,4,D2/H,monteje01
